format,stat_category,player_name,rank,batting_matches,batting_inns,batting_avg,batting_sr,batting_hs,batting_4’s,batting_6’s,batting_50’s,batting_100’s,batting_runs,bowling_matches,bowling_inns,bowling_wickets,bowling_avg,bowling_bowling figure,bowling_economy rate,bowling_sr,bowling_runs
TEST,batting_most_runs,Rahul Dravid,2,164.0,286.0,52.31,42.51,270,1655,21,63,36,13288.0,,,,,,,,
TEST,batting_most_runs,Sunil Gavaskar,3,125.0,214.0,51.12,66.04,236,1016,26,45,34,10122.0,,,,,,,,
TEST,batting_most_runs,Virat Kohli,4,123.0,210.0,46.85,55.57,254,1027,30,31,30,9230.0,,,,,,,,
TEST,batting_most_runs,VVS Laxman,5,134.0,225.0,45.97,49.37,281,1135,5,56,17,8781.0,,,,,,,,
TEST,batting_most_runs,Virender Sehwag,6,104.0,180.0,49.34,82.23,319,1233,91,32,23,8586.0,,,,,,,,
TEST,batting_most_runs,Sourav Ganguly,7,113.0,188.0,42.17,51.25,239,900,57,35,16,7212.0,,,,,,,,
TEST,batting_most_runs,Cheteshwar Pujara,8,103.0,176.0,43.6,44.36,206,863,16,35,19,7195.0,,,,,,,,
TEST,batting_most_runs,Dilip Vengsarkar,9,116.0,185.0,41.37,59.98,166,560,17,35,17,6868.0,,,,,,,,
TEST,batting_most_runs,Mohammad Azharuddin,10,99.0,147.0,45.03,63.08,199,720,19,21,22,6215.0,,,,,,,,
TEST,batting_most_runs,Gundappa Viswanath,11,91.0,155.0,41.93,75.9,222,616,6,35,14,6080.0,,,,,,,,
TEST,batting_most_runs,Kapil Dev,12,131.0,184.0,31.05,94.76,163,587,61,27,8,5248.0,,,,,,,,
TEST,batting_most_runs,Ajinkya Rahane,13,85.0,144.0,38.46,49.5,188,578,35,26,12,5077.0,,,,,,,,
TEST,batting_most_runs,MS Dhoni,14,90.0,144.0,38.09,59.11,224,544,78,33,6,4876.0,,,,,,,,
TEST,batting_most_runs,Mohinder Amarnath,15,69.0,113.0,42.5,85.52,138,330,21,24,11,4378.0,,,,,,,,
TEST,batting_most_runs,Rohit Sharma,16,67.0,116.0,40.57,57.05,212,473,88,18,12,4301.0,,,,,,,,
TEST,batting_most_runs,Gautam Gambhir,17,58.0,104.0,41.95,51.49,206,517,10,22,9,4154.0,,,,,,,,
TEST,batting_most_runs,Ravindra Jadeja,18,89.0,133.0,38.27,55.42,175,398,82,28,6,4095.0,,,,,,,,
TEST,batting_most_runs,KL Rahul,19,67.0,118.0,35.86,51.89,199,485,30,20,11,4053.0,,,,,,,,
TEST,batting_most_runs,Murali Vijay,20,61.0,105.0,38.28,46.29,167,467,33,15,12,3982.0,,,,,,,,
TEST,batting_most_runs,Ravi Shastri,21,80.0,121.0,35.79,48.22,206,317,22,12,11,3830.0,,,,,,,,
TEST,batting_most_runs,Ravichandran Ashwin,22,106.0,151.0,25.75,54.53,124,399,23,14,6,3503.0,,,,,,,,
TEST,batting_most_runs,Rishabh Pant,23,49.0,86.0,42.91,74.24,159,372,94,18,8,3476.0,,,,,,,,
TEST,batting_most_runs,Navjot Sidhu,24,51.0,78.0,42.13,44.88,201,358,38,15,9,3202.0,,,,,,,,
TEST,batting_most_runs,Shubman Gill,25,40.0,73.0,43.07,61.49,269,318,46,8,10,2843.0,,,,,,,,
TEST,batting_most_runs,Syed Kirmani,26,88.0,124.0,26.79,62.39,102,246,3,12,2,2759.0,,,,,,,,
TEST,batting_most_runs,Farokh Maneksha Engineer,27,46.0,87.0,31.08,137.35,121,288,2,16,2,2611.0,,,,,,,,
TEST,batting_most_runs,Yashasvi Jaiswal,28,28.0,53.0,49.23,66.02,214,312,45,13,7,2511.0,,,,,,,,
TEST,batting_most_runs,Anil Kumble,29,132.0,173.0,17.65,38.82,110,302,9,5,1,2506.0,,,,,,,,
TEST,batting_most_runs,Shikhar Dhawan,30,34.0,58.0,40.61,66.94,190,316,12,5,7,2315.0,,,,,,,,
TEST,batting_most_runs,Harbhajan Singh,31,103.0,145.0,18.22,64.8,115,277,42,9,2,2224.0,,,,,,,,
TEST,batting_most_runs,Ajit Wadekar,32,37.0,71.0,31.07,87.21,143,217,2,14,1,2113.0,,,,,,,,
TEST,batting_most_runs,Chetan Chauhan,33,40.0,68.0,31.57,-,97,-,1,16,-,2084.0,,,,,,,,
TEST,batting_most_runs,Kris Srikkanth,34,43.0,72.0,29.88,75.34,123,221,19,12,2,2062.0,,,,,,,,
TEST,batting_most_runs,Sanjay Manjrekar,35,37.0,61.0,37.14,38.67,218,220,1,9,4,2043.0,,,,,,,,
TEST,batting_most_runs,Anshuman Gaekwad,36,40.0,70.0,29.63,128.73,201,109,-,10,2,1985.0,,,,,,,,
TEST,batting_most_runs,Wasim Jaffer,37,31.0,58.0,34.1,48.05,212,272,3,11,5,1944.0,,,,,,,,
TEST,batting_most_runs,Yuvraj Singh,38,40.0,62.0,33.92,57.97,169,260,22,11,3,1900.0,,,,,,,,
TEST,batting_most_runs,Yashpal Sharma,39,37.0,59.0,33.46,44.39,140,140,7,9,2,1606.0,,,,,,,,
TEST,batting_most_runs,Manoj Prabhakar,40,39.0,58.0,32.65,38.5,120,165,4,9,1,1600.0,,,,,,,,
TEST,batting_most_runs,Sandeep Patil,41,29.0,47.0,36.09,75.51,174,197,9,7,4,1588.0,,,,,,,,
TEST,batting_most_runs,Mayank Agarwal,42,21.0,36.0,41.33,53.48,243,189,28,6,4,1488.0,,,,,,,,
TEST,batting_most_runs,Nayan Mongia,43,44.0,68.0,24.03,38.53,152,159,5,6,1,1442.0,,,,,,,,
TEST,batting_most_runs,Sadagoppan Ramesh,44,19.0,37.0,36.95,46.53,143,159,-,8,2,1367.0,,,,,,,,
TEST,batting_most_runs,Wriddhiman Saha,45,40.0,56.0,29.41,45.50,117,129,14,6,3,1353.0,,,,,,,,
TEST,batting_most_runs,Shiv Sunder Das,46,23.0,40.0,34.89,38.92,110,180,1,9,2,1326.0,,,,,,,,
TEST,batting_most_runs,Kiran More,47,49.0,64.0,25.7,40.40,73,132,2,7,-,1285.0,,,,,,,,
TEST,batting_most_runs,Zaheer Khan,48,92.0,127.0,11.95,51.70,75,141,28,3,-,1230.0,,,,,,,,
TEST,batting_most_runs,Irfan Pathan,49,29.0,40.0,31.57,53.22,102,131,18,6,1,1105.0,,,,,,,,
TEST,batting_most_runs,Vinod Kambli,50,17.0,21.0,54.2,59.66,227,124,6,3,4,1084.0,,,,,,,,
TEST,batting_most_runs,Eknath Dhondu Solkar,51,27.0,48.0,25.42,72.80,102,74,3,6,1,1068.0,,,,,,,,
TEST,batting_most_runs,Madan Lal,52,39.0,62.0,22.65,94.04,74,87,1,5,-,1042.0,,,,,,,,
TEST,batting_most_runs,Dinesh Karthik,53,26.0,42.0,25.0,49.27,129,134,4,7,1,1025.0,,,,,,,,
TEST,batting_most_runs,Syed Abid Ali,54,29.0,53.0,20.36,108.76,81,84,-,6,-,1018.0,,,,,,,,
TEST,batting_most_runs,Javagal Srinath,55,67.0,92.0,14.21,49.53,76,110,8,4,-,1009.0,,,,,,,,
TEST,batting_most_runs,Ashok Mankad,56,22.0,42.0,25.41,-,97,63,-,6,-,991.0,,,,,,,,
TEST,batting_most_runs,Brijesh Pursuram Patel,57,21.0,38.0,29.45,-,115,-,7,5,1,972.0,,,,,,,,
TEST,batting_most_runs,Parthiv Patel,58,25.0,38.0,31.13,48.46,71,126,1,6,-,934.0,,,,,,,,
TEST,batting_most_runs,Karsan Devjibhai Ghavri,59,39.0,57.0,21.23,58.38,86,73,7,2,-,913.0,,,,,,,,
TEST,batting_most_runs,Washington Sundar,60,17.0,29.0,42.14,45.85,101,75,19,5,1,885.0,,,,,,,,
TEST,batting_most_runs,Hanuma Vihari,61,16.0,28.0,33.56,42.2,111,107,2,5,1,839.0,,,,,,,,
TEST,batting_most_runs,Roger Binny,62,27.0,41.0,23.05,68.54,83,64,5,5,-,830.0,,,,,,,,
TEST,batting_most_runs,Shreyas Iyer,63,14.0,24.0,36.86,63.01,105,94,16,5,1,811.0,,,,,,,,
TEST,batting_most_runs,Ishant Sharma,64,105.0,142.0,8.26,30.56,57,88,1,1,-,785.0,,,,,,,,
TEST,batting_most_runs,Suresh Raina,65,18.0,31.0,26.48,53.14,120,100,4,7,1,768.0,,,,,,,,
TEST,batting_most_runs,Mohammad Shami,66,64.0,89.0,12.09,74.62,56,83,25,2,-,750.0,,,,,,,,
TEST,batting_most_runs,Srinivas Venkataraghavan,67,57.0,76.0,11.68,120.65,64,49,3,2,-,748.0,,,,,,,,
TEST,batting_most_runs,Arun Lal,68,16.0,29.0,26.03,57.22,93,66,-,6,-,729.0,,,,,,,,
TEST,batting_most_runs,Axar Patel,69,15.0,24.0,34.4,53.04,84,73,20,4,-,688.0,,,,,,,,
TEST,batting_most_runs,Bishan Singh Bedi,70,67.0,101.0,8.98,108.79,50,51,3,1,-,656.0,,,,,,,,
TEST,batting_most_runs,Amit Mishra,71,22.0,32.0,21.6,58.74,84,79,3,4,-,648.0,,,,,,,,
TEST,batting_most_runs,Mohammad Kaif,72,13.0,22.0,32.84,40.31,148,64,2,3,1,624.0,,,,,,,,
TEST,batting_most_runs,Karun Nair,73,10.0,15.0,41.35,64.62,303,70,4,1,1,579.0,,,,,,,,
TEST,batting_most_runs,Ajay Jadeja,74,15.0,24.0,26.18,39.37,96,62,3,4,-,576.0,,,,,,,,
TEST,batting_most_runs,Ajit Agarkar,75,26.0,39.0,16.79,52.82,109,83,3,-,1,571.0,,,,,,,,
TEST,batting_most_runs,Bhuvneshwar Kumar,76,21.0,29.0,22.08,45.06,63,77,1,3,-,552.0,,,,,,,,
TEST,batting_most_runs,Surinder Amarnath,77,10.0,18.0,30.55,-,124,42,1,3,1,550.0,,,,,,,,
TEST,batting_most_runs,Hardik Pandya,78,11.0,18.0,31.29,73.88,108,68,12,4,1,532.0,,,,,,,,
TEST,batting_most_runs,Sanjay Bangar,79,12.0,18.0,29.37,32.48,100,57,3,3,1,470.0,,,,,,,,
TEST,batting_most_runs,Umesh Yadav,80,57.0,68.0,11.21,52.09,31,42,24,-,-,460.0,,,,,,,,
TEST,batting_most_runs,Dhruv Jurel,81,9.0,15.0,35.3,55.77,125,47,10,1,1,459.0,,,,,,,,
TEST,batting_most_runs,Woorkeri Raman,82,11.0,19.0,24.88,37.86,96,55,1,4,-,448.0,,,,,,,,
TEST,batting_most_runs,Aakash Chopra,83,10.0,19.0,23.0,34.60,60,49,-,2,-,437.0,,,,,,,,
TEST,batting_most_runs,Pravin Amre,84,11.0,13.0,42.5,37.74,103,44,3,3,1,425.0,,,,,,,,
TEST,batting_most_runs,Shivlal Yadav,85,35.0,40.0,14.39,37.91,43,30,1,-,-,403.0,,,,,,,,
TEST,batting_most_runs,Chetan Sharma,86,23.0,27.0,22.0,61.68,54,32,1,1,-,396.0,,,,,,,,
TEST,batting_most_runs,Nitish Kumar Reddy,87,10.0,16.0,26.4,57.3,114,40,10,-,1,396.0,,,,,,,,
TEST,batting_most_runs,Shardul Thakur,88,13.0,21.0,18.85,59.84,67,46,9,4,-,377.0,,,,,,,,
TEST,batting_most_runs,Sunil Joshi,89,15.0,19.0,20.7,42.20,92,36,4,1,-,352.0,,,,,,,,
TEST,batting_most_runs,Jasprit Bumrah,90,52.0,78.0,6.56,41.28,34,38,11,-,-,348.0,,,,,,,,
TEST,batting_most_runs,Deep Dasgupta,91,8.0,13.0,28.66,30.55,100,40,1,2,1,344.0,,,,,,,,
TEST,batting_most_runs,Prithvi Shaw,92,5.0,9.0,42.37,86.04,134,48,2,2,1,339.0,,,,,,,,
TEST,batting_most_runs,Abhinav Mukund,93,7.0,14.0,22.85,45.71,81,32,1,2,-,320.0,,,,,,,,
TEST,batting_most_runs,Sreesanth,94,27.0,40.0,10.4,52.13,35,38,4,-,-,281.0,,,,,,,,
TEST,batting_most_runs,Arshad Ayub,95,13.0,19.0,17.13,32.12,57,25,-,1,-,257.0,,,,,,,,
TEST,batting_most_runs,Jayant Yadav,96,6.0,9.0,31.0,43.13,104,30,1,1,1,248.0,,,,,,,,
TEST,batting_most_runs,Venkatapathy Raju,97,28.0,34.0,10.0,31.75,31,12,-,-,-,240.0,,,,,,,,
TEST,batting_most_runs,Ashok Malhotra,98,7.0,10.0,25.11,84.96,72,18,-,1,-,226.0,,,,,,,,
TEST,batting_most_runs,Kuldeep Yadav,99,17.0,21.0,11.84,25.25,40,22,1,-,-,225.0,,,,,,,,
TEST,batting_most_runs,Kona Srikar Bharat,100,7.0,12.0,20.09,52.99,44,19,6,-,-,221.0,,,,,,,,
TEST,batting_most_runs,Balwinder Sandhu,101,8.0,11.0,30.57,113.23,71,17,3,2,-,214.0,,,,,,,,
TEST,batting_most_runs,Venkatesh Prasad,102,33.0,47.0,7.51,28.87,30,11,-,-,-,203.0,,,,,,,,
TEST,batting_most_runs,Stuart Binny,103,6.0,10.0,21.55,58.25,78,23,1,1,-,194.0,,,,,,,,
TEST,batting_most_runs,Parthasarthi Sharma,104,5.0,10.0,18.7,76.33,54,21,2,1,-,187.0,,,,,,,,
TEST,batting_most_runs,Chandrakant Pandit,105,5.0,8.0,24.42,51.66,39,18,-,-,-,171.0,,,,,,,,
TEST,batting_most_runs,Bhagwath Chandrasekhar,106,58.0,80.0,4.07,48.41,22,12,-,-,-,167.0,,,,,,,,
TEST,batting_most_runs,Akash Deep,107,10.0,15.0,11.64,53.79,66,20,6,1,-,163.0,,,,,,,,
TEST,batting_most_runs,Ajay Ratra,108,6.0,10.0,18.11,30.58,115,14,-,-,1,163.0,,,,,,,,
TEST,batting_most_runs,Mohammed Siraj,109,45.0,61.0,4.4,33.99,16,16,2,-,-,154.0,,,,,,,,
TEST,batting_most_runs,Raghuram Bhat,110,2.0,2.0,37.75,109.50,-,-,-,-,-,151.0,,,,,,,,
TEST,batting_most_runs,Praveen Kumar,111,6.0,10.0,14.9,93.71,40,21,5,-,-,149.0,,,,,,,,
TEST,batting_most_runs,Sameer Sudhakar Dighe,112,6.0,10.0,15.66,38.31,47,19,-,-,-,141.0,,,,,,,,
TEST,batting_most_runs,Sudhir Sakharam Naik,113,3.0,6.0,23.5,76.22,77,17,-,1,-,141.0,,,,,,,,
TEST,batting_most_runs,Kirti Azad,114,7.0,12.0,11.25,44.55,24,13,-,-,-,135.0,,,,,,,,
TEST,batting_most_runs,Vikram Rathour,115,6.0,10.0,13.1,34.20,44,13,-,-,-,131.0,,,,,,,,
TEST,batting_most_runs,Laxman Sivaramakrishnan,116,9.0,9.0,16.25,100.78,25,8,-,-,-,130.0,,,,,,,,
TEST,batting_most_runs,Dilip Rasiklal Doshi,117,33.0,38.0,4.6,32.09,20,13,-,-,-,129.0,,,,,,,,
TEST,batting_most_runs,Abhimanyu Mithun,118,4.0,5.0,24.0,48.19,46,16,-,-,-,120.0,,,,,,,,
TEST,batting_most_runs,RP Singh,119,14.0,19.0,7.25,42.02,30,16,1,-,-,116.0,,,,,,,,
TEST,batting_most_runs,Yajurvindra Singh,120,4.0,7.0,18.16,30.70,43,9,-,-,-,109.0,,,,,,,,
TEST,batting_most_runs,Mannava Prasad,121,6.0,10.0,11.77,28.64,19,6,-,-,-,106.0,,,,,,,,
TEST,batting_most_runs,Lalchand Rajput,122,2.0,4.0,26.25,-,61,-,-,1,-,105.0,,,,,,,,
TEST,batting_most_runs,Raman Lamba,123,4.0,5.0,20.39,68.92,53,5,-,1,-,102.0,,,,,,,,
TEST,batting_most_runs,Maninder Singh,124,35.0,38.0,3.8,33.33,15,5,1,-,-,99.0,,,,,,,,
TEST,batting_most_runs,Rajesh Chauhan,125,21.0,17.0,7.0,28.16,23,10,3,-,-,98.0,,,,,,,,
TEST,batting_most_runs,Aashish Kapoor,126,4.0,6.0,19.4,53.59,42,8,2,-,-,97.0,,,,,,,,
TEST,batting_most_runs,Atul Wassan,127,4.0,5.0,23.5,70.67,53,9,-,1,-,94.0,,,,,,,,
TEST,batting_most_runs,Hemang Badani,128,4.0,7.0,15.66,37.90,38,11,1,-,-,94.0,,,,,,,,
TEST,batting_most_runs,Devdutt Padikkal,129,2.0,3.0,30.0,45.68,65,12,1,1,-,90.0,,,,,,,,
TEST,batting_most_runs,Pragyan Ojha,130,24.0,27.0,8.9,18.08,18,6,-,-,-,89.0,,,,,,,,
TEST,batting_most_runs,Murali Kartik,131,8.0,10.0,9.77,38.09,43,11,-,-,-,88.0,,,,,,,,
TEST,batting_most_runs,Ramnath Parkar,132,2.0,4.0,20.0,34.48,35,10,-,-,-,80.0,,,,,,,,
TEST,batting_most_runs,Ishan Kishan,133,2.0,3.0,78.0,85.71,52,8,2,1,-,78.0,,,,,,,,
TEST,batting_most_runs,Ashish Nehra,134,17.0,25.0,5.5,30.07,19,8,3,-,-,77.0,,,,,,,,
TEST,batting_most_runs,Hrishikesh Kanitkar,135,2.0,4.0,18.5,40.00,45,8,-,-,-,74.0,,,,,,,,
TEST,batting_most_runs,Pranab Roy,136,2.0,3.0,35.5,30.86,60,11,-,1,-,71.0,,,,,,,,
TEST,batting_most_runs,Abey Kuruvilla,137,10.0,11.0,6.6,40.24,35,-,4,-,-,66.0,,,,,,,,
TEST,batting_most_runs,S Badrinath,138,2.0,3.0,21.0,35.39,56,8,-,1,-,63.0,,,,,,,,
TEST,batting_most_runs,Munaf Patel,139,13.0,14.0,7.5,42.25,15,8,1,-,-,60.0,,,,,,,,
TEST,batting_most_runs,Paras Mhambrey,140,2.0,3.0,29.0,52.25,28,8,-,-,-,58.0,,,,,,,,
TEST,batting_most_runs,-,141,2.0,3.0,28.0,70.00,38,9,-,-,-,56.0,,,,,,,,
TEST,batting_most_runs,Naman Ojha,142,1.0,2.0,28.0,47.86,35,7,-,-,-,56.0,,,,,,,,
TEST,batting_most_runs,Mohammad Nissar,143,6.0,11.0,6.87,-,14,-,-,-,-,55.0,,,,,,,,
TEST,batting_most_runs,Narendra Hirwani,144,17.0,22.0,5.4,40.91,17,6,-,-,-,54.0,,,,,,,,
TEST,batting_most_runs,Ajay Sharma,145,1.0,2.0,26.5,31.36,30,8,-,-,-,53.0,,,,,,,,
TEST,batting_most_runs,Lakshmipathy Balaji,146,8.0,9.0,5.66,40.47,31,5,1,-,-,51.0,,,,,,,,
TEST,batting_most_runs,Tirumalai Srinivasan,147,1.0,2.0,24.0,25.80,29,6,-,-,-,48.0,,,,,,,,
TEST,batting_most_runs,Vikram Singh,148,5.0,6.0,11.75,111.90,29,9,-,-,-,47.0,,,,,,,,
TEST,batting_most_runs,Sarandeep Singh,149,3.0,2.0,43.0,31.61,39,1,-,-,-,43.0,,,,,,,,
TEST,batting_most_runs,Sairaj Bahutule,150,2.0,4.0,13.0,37.14,21,3,1,-,-,39.0,,,,,,,,
TEST,batting_most_runs,Bharath Reddy,151,4.0,5.0,9.5,38.00,21,6,-,-,-,38.0,,,,,,,,
TEST,batting_most_runs,Jaydev Unadkat,152,4.0,5.0,12.0,40.44,14,2,1,-,-,36.0,,,,,,,,
TEST,batting_most_runs,Varun Aaron,153,9.0,14.0,3.88,31.81,9,4,-,-,-,35.0,,,,,,,,
TEST,batting_most_runs,Pochiah Krishnamurthy,154,5.0,6.0,5.5,-,20,1,-,-,-,33.0,,,,,,,,
TEST,batting_most_runs,Khandu Rangnekar,155,3.0,6.0,5.5,42.30,18,4,-,-,-,33.0,,,,,,,,
TEST,batting_most_runs,Sadanand Viswanath,156,3.0,5.0,6.2,-,20,-,-,-,-,31.0,,,,,,,,
TEST,batting_most_runs,Vijay Yadav,157,1.0,1.0,30.0,120.00,30,3,2,-,-,30.0,,,,,,,,
TEST,batting_most_runs,Iqbal Siddiqui,158,1.0,2.0,29.0,96.66,24,3,1,-,-,29.0,,,,,,,,
TEST,batting_most_runs,Vijay Bharadwaj,159,3.0,3.0,9.33,19.31,22,2,-,-,-,28.0,,,,,,,,
TEST,batting_most_runs,Kanwar Rai Singh,160,1.0,2.0,13.0,81.25,24,1,1,-,-,26.0,,,,,,,,
TEST,batting_most_runs,Dodda Ganesh,161,4.0,7.0,6.25,20.49,8,1,-,-,-,25.0,,,,,,,,
TEST,batting_most_runs,Ramesh Saxena,162,1.0,2.0,12.5,29.06,16,3,-,-,-,25.0,,,,,,,,
TEST,batting_most_runs,Suru Nayak,163,2.0,3.0,9.5,38.77,11,3,-,-,-,19.0,,,,,,,,
TEST,batting_most_runs,Gursharan Singh,164,1.0,1.0,18.0,47.36,18,2,-,-,-,18.0,,,,,,,,
TEST,batting_most_runs,Saba Karim,165,1.0,1.0,15.0,32.60,15,2,-,-,-,15.0,,,,,,,,
TEST,batting_most_runs,Tinu Yohannan,166,3.0,4.0,0.0,43.33,8,1,-,-,-,13.0,,,,,,,,
TEST,batting_most_runs,Ramesh Powar,167,2.0,2.0,6.5,72.22,7,2,-,-,-,13.0,,,,,,,,
TEST,batting_most_runs,Gopal Sharma,168,5.0,4.0,3.66,-,10,-,-,-,-,11.0,,,,,,,,
TEST,batting_most_runs,Vinay Kumar,169,1.0,2.0,5.5,45.83,6,2,-,-,-,11.0,,,,,,,,
TEST,batting_most_runs,Prasidh Krishna,170,6.0,10.0,2.0,15.38,5,-,-,-,-,10.0,,,,,,,,
TEST,batting_most_runs,Pankaj Singh,171,2.0,4.0,3.33,50.00,9,2,-,-,-,10.0,,,,,,,,
TEST,batting_most_runs,Yograj Singh,172,1.0,2.0,5.0,20.00,6,1,-,-,-,10.0,,,,,,,,
TEST,batting_most_runs,Navdeep Saini,173,2.0,3.0,4.0,29.62,5,1,-,-,-,8.0,,,,,,,,
TEST,batting_most_runs,David Johnson,174,2.0,3.0,4.0,22.85,5,1,-,-,-,8.0,,,,,,,,
TEST,batting_most_runs,Karn Sharma,175,1.0,2.0,8.0,28.57,4,-,-,-,-,8.0,,,,,,,,
TEST,batting_most_runs,Surya Kumar Yadav,176,1.0,1.0,8.0,40,8,1,-,-,-,8.0,,,,,,,,
TEST,batting_most_runs,Harshit Rana,177,2.0,3.0,2.33,35,7,1,-,-,-,7.0,,,,,,,,
TEST,batting_most_runs,Ghulam Parkar,178,1.0,2.0,3.5,15.55,6,1,-,-,-,7.0,,,,,,,,
TEST,batting_most_runs,Nikhil Chopra,179,1.0,2.0,3.5,10.00,4,-,-,-,-,7.0,,,,,,,,
TEST,batting_most_runs,Harvinder Singh,180,3.0,4.0,2.0,15.78,6,1,-,-,-,6.0,,,,,,,,
TEST,batting_most_runs,Piyush Chawla,181,3.0,3.0,2.0,26.08,4,1,-,-,-,6.0,,,,,,,,
TEST,batting_most_runs,Vivek Razdan,182,2.0,2.0,6.0,60.00,6,1,-,-,-,6.0,,,,,,,,
TEST,batting_most_runs,Salil Ankola,183,1.0,1.0,6.0,54.54,6,1,-,-,-,6.0,,,,,,,,
TEST,batting_most_runs,Nilesh Kulkarni,184,3.0,2.0,5.0,11.90,4,-,-,-,-,5.0,,,,,,,,
TEST,batting_most_runs,Bharat Arun,185,2.0,2.0,4.0,-,2,-,-,-,-,4.0,,,,,,,,
TEST,batting_most_runs,Jenni Irani,186,2.0,3.0,3.0,13.63,2,-,-,-,-,3.0,,,,,,,,
TEST,batting_most_runs,Subroto Banerjee,187,1.0,1.0,3.0,42.85,3,-,-,-,-,3.0,,,,,,,,
TEST,batting_most_runs,Raju Kulkarni,188,3.0,2.0,1.0,-,2,-,-,-,-,2.0,,,,,,,,
TEST,batting_most_runs,Vijay Dahiya,189,2.0,1.0,0.0,40.00,2,-,-,-,-,2.0,,,,,,,,
TEST,batting_most_runs,Rahul Sanghvi,190,1.0,2.0,1.0,9.09,2,-,-,-,-,2.0,,,,,,,,
TEST,batting_most_runs,Shahbaz Nadeem,191,2.0,3.0,0.5,3.33,1,-,-,-,-,1.0,,,,,,,,
TEST,batting_most_runs,T. Natarajan,192,1.0,1.0,0.0,11.11,1,-,-,-,-,1.0,,,,,,,,
TEST,batting_highest_score,Karun Nair,2,10.0,15.0,41.35,64.62,303,70,4,1,1,579.0,,,,,,,,
TEST,batting_highest_score,VVS Laxman,3,134.0,225.0,45.97,49.37,281,1135,5,56,17,8781.0,,,,,,,,
TEST,batting_highest_score,Rahul Dravid,4,164.0,286.0,52.31,42.51,270,1655,21,63,36,13288.0,,,,,,,,
TEST,batting_highest_score,Shubman Gill,5,40.0,73.0,43.07,61.49,269,318,46,8,10,2843.0,,,,,,,,
TEST,batting_highest_score,Virat Kohli,6,123.0,210.0,46.85,55.57,254,1027,30,31,30,9230.0,,,,,,,,
TEST,batting_highest_score,Sachin Tendulkar,7,200.0,329.0,53.78,54.09,248,2058,69,68,51,15921.0,,,,,,,,
TEST,batting_highest_score,Mayank Agarwal,8,21.0,36.0,41.33,53.48,243,189,28,6,4,1488.0,,,,,,,,
TEST,batting_highest_score,Sourav Ganguly,9,113.0,188.0,42.17,51.25,239,900,57,35,16,7212.0,,,,,,,,
TEST,batting_highest_score,Sunil Gavaskar,10,125.0,214.0,51.12,66.04,236,1016,26,45,34,10122.0,,,,,,,,
TEST,batting_highest_score,Vinod Kambli,11,17.0,21.0,54.2,59.66,227,124,6,3,4,1084.0,,,,,,,,
TEST,batting_highest_score,MS Dhoni,12,90.0,144.0,38.09,59.11,224,544,78,33,6,4876.0,,,,,,,,
TEST,batting_highest_score,Gundappa Viswanath,13,91.0,155.0,41.93,75.9,222,616,6,35,14,6080.0,,,,,,,,
TEST,batting_highest_score,Sanjay Manjrekar,14,37.0,61.0,37.14,38.67,218,220,1,9,4,2043.0,,,,,,,,
TEST,batting_highest_score,Yashasvi Jaiswal,15,28.0,53.0,49.23,66.02,214,312,45,13,7,2511.0,,,,,,,,
TEST,batting_highest_score,Rohit Sharma,16,67.0,116.0,40.57,57.05,212,473,88,18,12,4301.0,,,,,,,,
TEST,batting_highest_score,Wasim Jaffer,17,31.0,58.0,34.1,48.05,212,272,3,11,5,1944.0,,,,,,,,
TEST,batting_highest_score,Cheteshwar Pujara,18,103.0,176.0,43.6,44.36,206,863,16,35,19,7195.0,,,,,,,,
TEST,batting_highest_score,Ravi Shastri,19,80.0,121.0,35.79,48.22,206,317,22,12,11,3830.0,,,,,,,,
TEST,batting_highest_score,Gautam Gambhir,20,58.0,104.0,41.95,51.49,206,517,10,22,9,4154.0,,,,,,,,
TEST,batting_highest_score,Navjot Sidhu,21,51.0,78.0,42.13,44.88,201,358,38,15,9,3202.0,,,,,,,,
TEST,batting_highest_score,Anshuman Gaekwad,22,40.0,70.0,29.63,128.73,201,109,-,10,2,1985.0,,,,,,,,
TEST,batting_highest_score,Mohammad Azharuddin,23,99.0,147.0,45.03,63.08,199,720,19,21,22,6215.0,,,,,,,,
TEST,batting_highest_score,KL Rahul,24,67.0,118.0,35.86,51.89,199,485,30,20,11,4053.0,,,,,,,,
TEST,batting_highest_score,Shikhar Dhawan,25,34.0,58.0,40.61,66.94,190,316,12,5,7,2315.0,,,,,,,,
TEST,batting_highest_score,Ajinkya Rahane,26,85.0,144.0,38.46,49.5,188,578,35,26,12,5077.0,,,,,,,,
TEST,batting_highest_score,Ravindra Jadeja,27,89.0,133.0,38.27,55.42,175,398,82,28,6,4095.0,,,,,,,,
TEST,batting_highest_score,Sandeep Patil,28,29.0,47.0,36.09,75.51,174,197,9,7,4,1588.0,,,,,,,,
TEST,batting_highest_score,Yuvraj Singh,29,40.0,62.0,33.92,57.97,169,260,22,11,3,1900.0,,,,,,,,
TEST,batting_highest_score,Murali Vijay,30,61.0,105.0,38.28,46.29,167,467,33,15,12,3982.0,,,,,,,,
TEST,batting_highest_score,Dilip Vengsarkar,31,116.0,185.0,41.37,59.98,166,560,17,35,17,6868.0,,,,,,,,
TEST,batting_highest_score,Kapil Dev,32,131.0,184.0,31.05,94.76,163,587,61,27,8,5248.0,,,,,,,,
