season,matches,innings,runs,batting_average,strike_rate,fours,sixes,fifties,hundreds,highest_score,catches,wickets,bowling_average,economy_rate,bowling_strike_rate,best_bowling,highest_score_num,highest_score_notout,best_bowling_wickets,best_bowling_runs,player_id,_outlier,total_runs,total_wickets,batting_impact,bowling_impact,consistency_score,overall_performance_score,performance_category,career_matches,career_innings,career_runs,career_wickets,career_fifties,career_hundreds,career_catches,seasons_played
2024,14,12,133,33.25,126.66,8,5,0,0,43*,3,6,42.5,7.72,33.0,11/3,43,1,11,3,345,0,1982,107,0.4670107726057169,0.5203367887128334,6.335190195606026,2.34149999058972,Average,158,127,1982,107,3,0,26,11
2025,15,7,109,18.17,126.74,9,4,1,0,73*,6,17,22.29,8.23,16.23,45/4,73,1,45,4,345,0,1982,107,0.20928555419727,2.6368081327232544,6.335190195606026,2.873351305897616,Average,158,127,1982,107,3,0,26,11
2026,16,9,226,37.67,145.8,20,11,1,0,73,2,14,30.35,8.41,21.64,16/2,73,0,16,2,345,0,1982,107,1.034917444907014,1.5606763757131938,6.335190195606026,2.8807645350710818,Average,158,127,1982,107,3,0,26,11
2017,12,2,20,10.0,90.9,2,0,0,0,16,0,12,28.33,8.29,20.5,4/20,16,0,4,20,347,0,210,106,0.0151578639146014,1.4538501746351065,4.848016811906076,1.97164669789385,Poor,107,42,210,106,0,0,8,9
2018,16,3,12,12.0,50.0,1,0,0,0,7*,0,17,24.58,8.14,18.11,4/20,7,1,4,20,347,0,210,106,0.006003114423165,2.4175872120667132,4.848016811906076,2.2571059090412984,Average,107,42,210,106,0,0,8,9
2019,9,4,12,6.0,150.0,1,0,0,0,10*,0,4,71.5,8.66,49.5,4/20,10,1,4,20,347,0,210,106,0.0090046716410508,0.1838127236758196,4.848016811906076,1.5881741860801162,Poor,107,42,210,106,0,0,8,9
2020,5,2,13,13.0,61.9,1,0,0,0,12,0,1,92.0,7.66,72.0,4/20,12,0,4,20,347,0,210,106,0.0087221083724591,0.040375965352492,4.848016811906076,1.5450301333188252,Poor,107,42,210,106,0,0,8,9
2022,14,7,48,48.0,92.3,3,2,0,0,16*,4,21,19.95,8.43,14.19,14/4,16,1,14,4,347,0,210,106,0.1773079873647164,3.5529437503206953,4.848016811906076,2.6662348192849845,Average,107,42,210,106,0,0,8,9
2023,14,10,31,15.5,64.58,2,0,0,0,10*,1,10,36.1,7.36,29.4,15/2,10,1,15,2,347,0,210,106,0.0258723309112716,1.070913752590224,4.848016811906076,1.8610515581896485,Poor,107,42,210,106,0,0,8,9
2024,11,5,47,15.67,114.63,6,1,0,0,35*,2,16,23.37,8.69,16.12,55/4,35,1,55,4,347,0,210,106,0.0703897254610422,2.2417181376908752,4.848016811906076,2.230099831170704,Average,107,42,210,106,0,0,8,9
